City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,selfoss,63.9331,-20.9971,35.04,88,100,7.74,IS,1699731373
146,malango,-2.9627,119.9001,67.48,97,100,1.41,ID,1699731374
147,samut sakhon,13.5833,100.3,79.0,93,100,7.45,TH,1699731375
148,northam,51.0333,-4.2167,49.66,90,100,13.6,GB,1699731338
149,rechka-vydrino,51.485,104.8461,26.67,67,2,5.12,RU,1699731377
150,tamanrasset,22.785,5.5228,73.31,10,0,4.61,DZ,1699731378
151,gubkinskiy,64.434,76.5026,32.4,94,100,17.4,RU,1699731378
152,chonchi,-42.6128,-73.8092,47.41,93,96,10.69,CL,1699731380
153,thames,-37.1333,175.5333,57.04,70,11,4.27,NZ,1699731381
154,kuusamo,65.9667,29.1833,14.04,92,0,4.61,FI,1699731383
155,san patricio,28.017,-97.5169,59.85,89,100,7.2,US,1699731384
156,qaqortoq,60.7167,-46.0333,26.2,73,44,8.77,GL,1699731384
157,yanykurgan,43.915,67.2481,47.07,58,100,10.8,KZ,1699731385
158,barclayville,4.6797,-8.2339,77.65,90,34,4.41,LR,1699731386
159,roma,43.2128,-75.4557,40.57,63,20,13.8,US,1699731367
160,saint-georges,12.0564,-61.7485,76.68,100,75,13.8,GD,1699731388
161,atafu village,-8.5421,-172.5159,83.52,77,93,8.3,TK,1699731389
162,ribeira grande,38.5167,-28.7,68.4,94,75,15.99,PT,1699731390
163,utrik,11.2278,169.8474,81.73,83,100,18.5,MH,1699731391
164,chibougamau,49.9168,-74.3659,26.22,68,100,8.05,CA,1699731392
165,minas de marcona,-15.2119,-75.1103,63.88,76,64,15.05,PE,1699731393
166,saint-louis,16.3333,-15.0,89.24,12,73,9.33,SN,1699731394
167,chui,-33.6971,-53.4616,75.92,79,56,12.15,UY,1699731394
168,hotan,37.0997,79.9269,41.38,34,17,6.02,CN,1699731395
169,tsiombe,-25.3,45.4833,69.64,69,0,16.84,MG,1699731396
170,korla,41.7597,86.1469,37.45,77,10,5.88,CN,1699731397
171,yellowknife,62.456,-114.3525,31.41,100,75,9.22,CA,1699731399
172,seryshevo,51.0933,128.3786,0.59,93,20,5.64,RU,1699731400
173,palmer,42.1584,-72.3287,51.03,46,0,11.5,US,1699731400
174,puerto madryn,-42.7692,-65.0385,71.44,30,100,28.54,AR,1699731401
